,2017-2-1,2017-2-2,2017-2-3,2017-2-4,2017-2-5,2017-2-6,2017-2-7,2017-2-8,2017-2-9,2017-2-10,2017-2-11,2017-2-12,2017-2-13,2017-2-14,2017-2-15,2017-2-16,2017-2-17,2017-2-18,2017-2-19,2017-2-20,2017-2-21,2017-2-22,2017-2-23,2017-2-24,2017-2-25,2017-2-26,2017-2-27,2017-2-28
9be000ae23275d57e1273d211a54ffd7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
a35e427b4130be7b2a892e286f0ebb91,,,,,,,,,,,,,0.0,0.0,71.0,25.0,0.0,0.0,0.0,0.0,0.0,67.0,66.0,0.0,52.0,64.0,56.99999999999999,74.0
185674a2eb5c14fbdbb1d05a4109ea55,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
afbddd7f957a1c822293616e95a2d84c,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
81cea1e224ad183b751acce139f4e276,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
5f1ce9b7c8cd32c08d98310540fb6604,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,98.0,0.0,97.0,0.0,98.0,97.0,93.0,98.0
5180af03094779de849ca816c9f5b753,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
7f2aa8e72612f9130e06b32a0d2a58d7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
8b049b660e984912c48da213f2f7c650,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
fe5d591b3509247487a917d4e8a33f65,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
f8a762f49d2abffe630be60295f71ed0,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100
58f7d1d3ce8cc4e808bf840b56714b38,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,98.0,0.0,97.0,0.0,98.0,97.0,93.0,98.0
84d414ec45c5b436c8470ce314c3b83f,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
51fa5362e943615c7b31d367b461fd2c,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100
c60d40fa98e6235ba0d1485c4253bfe6,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100
07d09eab6c837d4b0c0b17aba37e1dcf,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100
f69e492442cd452124c75e6805d8e37d,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
f5e2c06c5530335d2c994d20ed071bcb,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
16bdd6fe40ed85ce99a456af6d7cff93,,,,,,,98.0,0.0,98.0,98.0,0.0,98.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,97.0,0.0,98.0,97.0,93.0,98.0
11aeddbd12e79cae8dddb694e200f00d,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100
